name;rating;categories;benefits;description
EDTA;Good;Chelating Agent;;EDTA is short for ethylenediamine tetraacetic acid, a stabilizer used in cosmetics to prevent ingredients in a given formula from binding with trace elements (particularly minerals) that can be present in water. EDTA also keeps other ingredients from causing unwanted changes to a product’s texture, odor, and/or consistency. Ingredients that perform this function are known as chelating agents. Common examples of EDTA ingredients are disodium EDTA and tetrasodium EDTA. See chelating agent
Egg Yolk;Best;Emollient;Hydration;Egg yolk is mostly water and lipids (fats), especially cholesterol, which makes it a good emollient and replenishing ingredient for skin.
Eicosapentaenoic Acid;Best;Emollient;Hydration;"Fatty acid derived from salmon oil; it is a good emollient and replenishing for skin"
Elaeis Guineensis Oil;Best;Emollient, Plant Extracts, Antioxidant;Hydration, Anti-Aging;Elaeis guineensis oil is a soothing source of antioxidants, including vitamin E. As a non-fragrant plant oil, it also has emollient properties for skin.
Elderberry;Best;Plant Extracts, Antioxidant;Anti-Aging;Also known as black elderberry or Sambucus nigra, this plant has potent antioxidant properties due to the flavonoid compounds naturally present. Elderberry also has skin-soothing effects.
Elecampane;Worst;Irritant, Plant Extracts;;"Latin name Inula helenium; it is a plant that can be very sensitizing to skin. In cosmetics, this ingredient is most often added for its fragrance. Thisplant can cause allergic reactions for those allergic to plants in the ragweed family."
Ellagic Acid;Best;Antioxidant, Plant Extracts;Anti-Aging;Potent antioxidant compound found in pomegranate and most berries.
Emblica Officinalis (Gooseberry) Fruit Extract;Best;Antioxidant, Plant Extracts;Anti-Aging;Also known as amla, the fruit extract from this Indian berry is among the richest plant sources of antioxidants, particularly the phenolic class of antioxidants which include flavonoids like gallic acid, quercetin, and rutin. These and other antioxidant compounds in gooseberry explain its remarkable ability to defend skin from numerous types of damaging free radicals.Along with its antioxidant power, Indian gooseberry has proven to be remarkably soothing, with the ability to quiet factors in skin that stir visible signs of trouble, such as redness and increased sensitivity. This berry has also demonstrated highly impressive antioxidant benefits when consumed via food or supplement, where it can scavenge different types of harmful molecules before they cause harm.
Emollient;Good;Emollient, Texture Enhancer;;Supple, waxlike, lubricating, thickening agent that prevents water loss and has a softening and soothing effect on skin. Examples of emollients are ingredients like plant oils, mineral oil, shea butter, cocoa butter, petrolatum, and fatty acids (animal oils, including emu, mink, and lanolin, the latter probably the one ingredient that is most like our own skin’s oil). More technical-sounding emollient ingredients, such as triglycerides, benzoates, myristates, palmitates, and stearates, are generally waxy in texture and appearance but provide most moisturizers with their elegant texture and feel.
Emulsifier;Good;Emulsifier, Texture Enhancer;;In cosmetics, an emulsifier includes any ingredient that helps keep unlike ingredients (such as oil and water) from separating in an emulsion. Examples of cosmetics ingredients that function as emulsifiers include polysorbates, laureth-4, and potassium cetyl sulfate. Emulsifiers are widely used throughout the cosmetics industry and are the unsung heroes of many cosmetics formulas that blend and help to keep unlike ingredients together. There is also research showing they can help enhance the absorption of skincare ingredients and may be useful for prolonged topical delivery.
Emu Oil;Good;Emollient;Hydration;The emu (_Dromaius novaehollandiae_) is a large, flightless bird indigenous to Australia. The oil contains several fatty acids, including myristic, palmitic, oleic, linoleic, and linolenic acids. Emu oil has become an important component of the Australian economy. As a result there is research from that part of the world showing it to be a good emollient that can help restore skin. But along with the evidence that emu oil is a good emollient and the parade of companies promoting it for that, there are also companies promoting products containing emu oil for its antiaging properties. So does emu oil live up to these acclaimed properties? Regrettably, none of these promises are supported by research. A study looked at the “Cosmetic and moisturizing properties of Emu oil... assessed in a double-blind clinical study. Emu oil in comparison to mineral oil was found overall to be more cosmetically acceptable and had better skin penetration/permeability.” Like many ingredients, it has soothing, emollient properties, but it isn’t the miracle marketers make it out to be. Emu oil’s reputation is driven mostly by claims made by companies selling products that contain it, and not by any real proof that it is an essential requirement for skin.
English Ivy Extract;Worst;Plant Extracts, Irritant;;Can be a skin sensitizer due to its astringent properties, especially for those who suffer from allergies or have dry skin conditions. Compared to other allergenic or sensitizing plant extracts, English ivy has a lower risk of causing a reaction.
Ensulizole;Best;UV Filters;;"Also known as phenylbenzimidazole sulfonic acid, ensulizole is a water soluble sunscreen ingredient that works in the UVB range, offering no UVA protection. For this reason, ensulizole should always be paired with one or more UVA-screening sunscreen actives in any SPF-rated product labeled ""broad spectrum"". There's some controversy in the research about what some refer to as ensulizole potentially being a ""double-edged sword"" for skin. Studies on fish scales and bat skin have shown it protects against oxidizing molecules generated by UVB exposure but it can also trigger DNA damage within skin. Although this hasn't shown to be true on human skin, it may at least partially explain why ensulizole is not commonly found in sunscreens, despite having very few reports of triggering allergic reactions on human skin. Aesthetically, ensulizole feels lighter and less oily than most synthetic sunscreen actives, so is sometimes chosen when the goal is a very lightweight texture, although the mineral actives titanium dioxide and zinc oxide can also feel surprisingly light on skin. Ensulizole concentrations up to 4% are approved for use in sunscreens sold in the United States, Australia, New Zealand, and Korea. In most other parts of the world, ensulizole concentrations up to 8% are permitted, with the exception of Japan, whose maximum permitted amount is 3%. Along with protecting skin from UVB damage, ensulizole or its salts are sometimes included in cosmetics whose clear packaging would otherwise allow the formula inside to discolor due to ongoing light exposure. Salt forms of ensulizole include potassium phenylbenzimidazole sulfonate, sodium phenylbenzimidazole sulfonate and TEA-phenylbenzimidazole sulfonate. This sunscreen active is one of several currently undergoing further safety testing under the purview of the United States Food and Drug Administration (FDA). This testing is to gain a better understanding of the systemic absorption, metabolism, and elimination of these sunscreen actives when small amounts enter the body via topical use. It's important to know that the presence of this or other sunscreen actives in the body does not mean your health is at risk. It is anticipated that the additional testing being done will reaffirm the safety of these ingredients; however, those who remain concerned can choose sunscreens with mineral actives (titanium dioxide and zinc oxide) which are not included in the FDA's new call for additional testing."
Enteromorpha Compressa Extract;Best;Plant Extracts, Antioxidant, Texture Enhancer;Anti-Aging;Extract from green algae.
Environmental Damage;Worst;Irritant;;Occurrence that takes place at an atomic level and is a complex physiological process. Molecules are comprised of atoms. Atoms comprise all matter. Atoms are made up of protons, neutrons, and electrons. Electrons occur in pairs, and when an element only has a few paired electrons it can easily become unstable. Oxygen and oxides are primary examples of potential unstable elements in our environment. When oxygen interacts with skin (and because the air we breathe is 20% oxygen, that happens all the time), it almost always loses one of its electrons. This oxygen molecule, which now is minus one electron, is a damaging environmental factor. Because it is now unstable, the oxygen molecule quickly finds another electron, and it does this by taking an electron from another molecule in the skin, which is usually a healthy substance such as antioxidants in the skin. Antioxidants have lots of electrons to spare. Once those substances are robbed of all their electrons they break down and are destroyed. Oxygen molecules (or other potentially damaging environmental factors) attempting to replenish themselves in this way trigger a cascading event. The reactions that cause environmental damage take place in mere fractions of a second. Antioxidants are substances that prevent oxidative damage from beginning. The primary causes of environmental damage on skin are pollution, air, cigarette smoke, herbicides, and solvents (such as alcohol). Antioxidants are a way to potentially neutralize these effects via topical application.
Enzymes;Good;Exfoliant;Hydration;Vast group of proteins, produced by all living things, that act alone or with other ingredients as catalysts in chemical and biological reactions. Enzymes are divided into six main categories: oxidoreductases, transferases, hydrolases, lyases, isomerases, and ligases. The names of most, but not all, enzymes end in -ase. Enzymes are used in skincare products to prompt exfoliation. Most enzymes are finicky about how and under what conditions they will act. Sometimes several enzymes are required to carry out a particular reaction, and their actions are affected by temperature and pH. Some enzymes depend on the presence of other enzymes, called coenzymes, to function, or they depend on a specific body temperature. It would require an exceptionally complicated process to stimulate enzyme activity via topical application to skin.
Epigallocatechin Gallate;Best;Antioxidant, Plant Extracts;Anti-Aging, Oil Control;One of the active constituents of green tea believed to be responsible for its many health and appearance benefits, both orally and topically. The chief benefit of epigallocatechin-3-gallate is skin-soothing and antioxidant.
Epilobium Angustifolium (Willow Herb) Extract;Best;Antioxidant, Plant Extracts;Soothing, Anti-Aging;
Epilobium Angustifolium Extract;Best;Plant Extracts, Antioxidant;Soothing;Extract derived from a plant commonly known as fireweed or willow herb. It is known to have soothing and antioxidant effects on skin.
